category,source,freq,ticker,cut,fields,sourceticker,local-close
base-depos,bloomberg,daily,USDON,NYC,close,USDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD1W,NYC,close,USDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD2W,NYC,close,USDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD3W,NYC,close,USDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD1M,NYC,close,USDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD2M,NYC,close,USDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD3M,NYC,close,USDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD4M,NYC,close,USDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD6M,NYC,close,USDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD9M,NYC,close,USDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD1Y,NYC,close,USDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD2Y,NYC,close,USDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD3Y,NYC,close,USDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USD5Y,NYC,close,USDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHFON,NYC,close,SFDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF1W,NYC,close,SFDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF2W,NYC,close,SFDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF3W,NYC,close,SFDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF1M,NYC,close,SFDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF2M,NYC,close,SFDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF3M,NYC,close,SFDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF4M,NYC,close,SFDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF6M,NYC,close,SFDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF9M,NYC,close,SFDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF1Y,NYC,close,SFDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF2Y,NYC,close,SFDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF3Y,NYC,close,SFDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CHF5Y,NYC,close,SFDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EURON,NYC,close,EUDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR1W,NYC,close,EUDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR2W,NYC,close,EUDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR3W,NYC,close,EUDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR1M,NYC,close,EUDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR2M,NYC,close,EUDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR3M,NYC,close,EUDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR4M,NYC,close,EUDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR6M,NYC,close,EUDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR9M,NYC,close,EUDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR1Y,NYC,close,EUDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR2Y,NYC,close,EUDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR3Y,NYC,close,EUDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,EUR5Y,NYC,close,EUDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,USDON,LDN,close,USDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1W,LDN,close,USDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2W,LDN,close,USDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3W,LDN,close,USDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1M,LDN,close,USDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2M,LDN,close,USDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3M,LDN,close,USDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD4M,LDN,close,USDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD6M,LDN,close,USDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD9M,LDN,close,USDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD1Y,LDN,close,USDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD2Y,LDN,close,USDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD3Y,LDN,close,USDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USD5Y,LDN,close,USDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHFON,LDN,close,SFDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF1W,LDN,close,SFDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF2W,LDN,close,SFDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF3W,LDN,close,SFDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF1M,LDN,close,SFDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF2M,LDN,close,SFDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF3M,LDN,close,SFDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF4M,LDN,close,SFDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF6M,LDN,close,SFDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF9M,LDN,close,SFDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF1Y,LDN,close,SFDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF2Y,LDN,close,SFDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF3Y,LDN,close,SFDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,CHF5Y,LDN,close,SFDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EURON,LDN,close,EUDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR1W,LDN,close,EUDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR2W,LDN,close,EUDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR3W,LDN,close,EUDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR1M,LDN,close,EUDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR2M,LDN,close,EUDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR3M,LDN,close,EUDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR4M,LDN,close,EUDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR6M,LDN,close,EUDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR9M,LDN,close,EUDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR1Y,LDN,close,EUDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR2Y,LDN,close,EUDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR3Y,LDN,close,EUDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,EUR5Y,LDN,close,EUDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,USDON,TOK,close,USDR1T CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD1W,TOK,close,USDR1Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD2W,TOK,close,USDR2Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD3W,TOK,close,USDR3Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD1M,TOK,close,USDRA CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD2M,TOK,close,USDRB CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD3M,TOK,close,USDRC CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD4M,TOK,close,USDRD CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD6M,TOK,close,USDRF CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD9M,TOK,close,USDRI CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD1Y,TOK,close,USDR1 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD2Y,TOK,close,USDR2 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD3Y,TOK,close,USDR3 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,USD5Y,TOK,close,USDR5 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHFON,TOK,close,SFDR1T CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF1W,TOK,close,SFDR1Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF2W,TOK,close,SFDR2Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF3W,TOK,close,SFDR3Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF1M,TOK,close,SFDRA CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF2M,TOK,close,SFDRB CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF3M,TOK,close,SFDRC CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF4M,TOK,close,SFDRD CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF6M,TOK,close,SFDRF CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF9M,TOK,close,SFDRI CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF1Y,TOK,close,SFDR1 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF2Y,TOK,close,SFDR2 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF3Y,TOK,close,SFDR3 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,CHF5Y,TOK,close,SFDR5 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EURON,TOK,close,EUDR1T CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR1W,TOK,close,EUDR1Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR2W,TOK,close,EUDR2Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR3W,TOK,close,EUDR3Z CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR1M,TOK,close,EUDRA CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR2M,TOK,close,EUDRB CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR3M,TOK,close,EUDRC CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR4M,TOK,close,EUDRD CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR6M,TOK,close,EUDRF CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR9M,TOK,close,EUDRI CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR1Y,TOK,close,EUDR1 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR2Y,TOK,close,EUDR2 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR3Y,TOK,close,EUDR3 CMPT Index,8:00pm TOK
base-depos,bloomberg,daily,EUR5Y,TOK,close,EUDR5 CMPT Index,8:00pm TOK
