,category,data_source,freq,tickers,cut,fields,vendor_tickers
0,fx-forwards,bloomberg,daily,EURUSDON,NYC,close,EURON CMPN Curncy
1,fx-forwards,bloomberg,daily,EURUSDTN,NYC,close,EURTN CMPN Curncy
2,fx-forwards,bloomberg,daily,EURUSDSN,NYC,close,EURSN CMPN Curncy
3,fx-forwards,bloomberg,daily,EURUSD1W,NYC,close,EUR1W CMPN Curncy
4,fx-forwards,bloomberg,daily,EURUSD2W,NYC,close,EUR2W CMPN Curncy
5,fx-forwards,bloomberg,daily,EURUSD3W,NYC,close,EUR3W CMPN Curncy
6,fx-forwards,bloomberg,daily,EURUSD1M,NYC,close,EUR1M CMPN Curncy
7,fx-forwards,bloomberg,daily,EURUSD2M,NYC,close,EUR2M CMPN Curncy
8,fx-forwards,bloomberg,daily,EURUSD3M,NYC,close,EUR3M CMPN Curncy
9,fx-forwards,bloomberg,daily,EURUSD4M,NYC,close,EUR4M CMPN Curncy
10,fx-forwards,bloomberg,daily,EURUSD6M,NYC,close,EUR6M CMPN Curncy
11,fx-forwards,bloomberg,daily,EURUSD9M,NYC,close,EUR9M CMPN Curncy
12,fx-forwards,bloomberg,daily,EURUSD12M,NYC,close,EUR12M CMPN Curncy
13,fx-forwards,bloomberg,daily,EURUSD2Y,NYC,close,EUR2Y CMPN Curncy
14,fx-forwards,bloomberg,daily,EURUSD3Y,NYC,close,EUR3Y CMPN Curncy
15,fx-forwards,bloomberg,daily,EURUSD5Y,NYC,close,EUR5Y CMPN Curncy
16,fx-forwards,bloomberg,daily,GBPUSDON,NYC,close,GBPON CMPN Curncy
17,fx-forwards,bloomberg,daily,GBPUSDTN,NYC,close,GBPTN CMPN Curncy
18,fx-forwards,bloomberg,daily,GBPUSDSN,NYC,close,GBPSN CMPN Curncy
19,fx-forwards,bloomberg,daily,GBPUSD1W,NYC,close,GBP1W CMPN Curncy
20,fx-forwards,bloomberg,daily,GBPUSD2W,NYC,close,GBP2W CMPN Curncy
21,fx-forwards,bloomberg,daily,GBPUSD3W,NYC,close,GBP3W CMPN Curncy
22,fx-forwards,bloomberg,daily,GBPUSD1M,NYC,close,GBP1M CMPN Curncy
23,fx-forwards,bloomberg,daily,GBPUSD2M,NYC,close,GBP2M CMPN Curncy
24,fx-forwards,bloomberg,daily,GBPUSD3M,NYC,close,GBP3M CMPN Curncy
25,fx-forwards,bloomberg,daily,GBPUSD4M,NYC,close,GBP4M CMPN Curncy
26,fx-forwards,bloomberg,daily,GBPUSD6M,NYC,close,GBP6M CMPN Curncy
27,fx-forwards,bloomberg,daily,GBPUSD9M,NYC,close,GBP9M CMPN Curncy
28,fx-forwards,bloomberg,daily,GBPUSD12M,NYC,close,GBP12M CMPN Curncy
29,fx-forwards,bloomberg,daily,GBPUSD2Y,NYC,close,GBP2Y CMPN Curncy
30,fx-forwards,bloomberg,daily,GBPUSD3Y,NYC,close,GBP3Y CMPN Curncy
31,fx-forwards,bloomberg,daily,GBPUSD5Y,NYC,close,GBP5Y CMPN Curncy
32,fx-forwards,bloomberg,daily,AUDUSDON,NYC,close,AUDON CMPN Curncy
33,fx-forwards,bloomberg,daily,AUDUSDTN,NYC,close,AUDTN CMPN Curncy
34,fx-forwards,bloomberg,daily,AUDUSDSN,NYC,close,AUDSN CMPN Curncy
35,fx-forwards,bloomberg,daily,AUDUSD1W,NYC,close,AUD1W CMPN Curncy
36,fx-forwards,bloomberg,daily,AUDUSD2W,NYC,close,AUD2W CMPN Curncy
37,fx-forwards,bloomberg,daily,AUDUSD3W,NYC,close,AUD3W CMPN Curncy
38,fx-forwards,bloomberg,daily,AUDUSD1M,NYC,close,AUD1M CMPN Curncy
39,fx-forwards,bloomberg,daily,AUDUSD2M,NYC,close,AUD2M CMPN Curncy
40,fx-forwards,bloomberg,daily,AUDUSD3M,NYC,close,AUD3M CMPN Curncy
41,fx-forwards,bloomberg,daily,AUDUSD4M,NYC,close,AUD4M CMPN Curncy
42,fx-forwards,bloomberg,daily,AUDUSD6M,NYC,close,AUD6M CMPN Curncy
43,fx-forwards,bloomberg,daily,AUDUSD9M,NYC,close,AUD9M CMPN Curncy
44,fx-forwards,bloomberg,daily,AUDUSD12M,NYC,close,AUD12M CMPN Curncy
45,fx-forwards,bloomberg,daily,AUDUSD2Y,NYC,close,AUD2Y CMPN Curncy
46,fx-forwards,bloomberg,daily,AUDUSD3Y,NYC,close,AUD3Y CMPN Curncy
47,fx-forwards,bloomberg,daily,AUDUSD5Y,NYC,close,AUD5Y CMPN Curncy
48,fx-forwards,bloomberg,daily,NZDUSDON,NYC,close,NZDON CMPN Curncy
49,fx-forwards,bloomberg,daily,NZDUSDTN,NYC,close,NZDTN CMPN Curncy
50,fx-forwards,bloomberg,daily,NZDUSDSN,NYC,close,NZDSN CMPN Curncy
51,fx-forwards,bloomberg,daily,NZDUSD1W,NYC,close,NZD1W CMPN Curncy
52,fx-forwards,bloomberg,daily,NZDUSD2W,NYC,close,NZD2W CMPN Curncy
53,fx-forwards,bloomberg,daily,NZDUSD3W,NYC,close,NZD3W CMPN Curncy
54,fx-forwards,bloomberg,daily,NZDUSD1M,NYC,close,NZD1M CMPN Curncy
55,fx-forwards,bloomberg,daily,NZDUSD2M,NYC,close,NZD2M CMPN Curncy
56,fx-forwards,bloomberg,daily,NZDUSD3M,NYC,close,NZD3M CMPN Curncy
57,fx-forwards,bloomberg,daily,NZDUSD4M,NYC,close,NZD4M CMPN Curncy
58,fx-forwards,bloomberg,daily,NZDUSD6M,NYC,close,NZD6M CMPN Curncy
59,fx-forwards,bloomberg,daily,NZDUSD9M,NYC,close,NZD9M CMPN Curncy
60,fx-forwards,bloomberg,daily,NZDUSD12M,NYC,close,NZD12M CMPN Curncy
