,category,data_source,freq,tickers,cut,fields,vendor_tickers
0,fx-implied-vol,bloomberg,daily,EURUSDVON,NYC,close,EURUSDVON CMPN Curncy
1,fx-implied-vol,bloomberg,daily,EURUSDV1W,NYC,close,EURUSDV1W CMPN Curncy
2,fx-implied-vol,bloomberg,daily,EURUSDV2W,NYC,close,EURUSDV2W CMPN Curncy
3,fx-implied-vol,bloomberg,daily,EURUSDV3W,NYC,close,EURUSDV3W CMPN Curncy
4,fx-implied-vol,bloomberg,daily,EURUSDV1M,NYC,close,EURUSDV1M CMPN Curncy
5,fx-implied-vol,bloomberg,daily,EURUSDV2M,NYC,close,EURUSDV2M CMPN Curncy
6,fx-implied-vol,bloomberg,daily,EURUSDV3M,NYC,close,EURUSDV3M CMPN Curncy
7,fx-implied-vol,bloomberg,daily,EURUSDV4M,NYC,close,EURUSDV4M CMPN Curncy
8,fx-implied-vol,bloomberg,daily,EURUSDV6M,NYC,close,EURUSDV6M CMPN Curncy
9,fx-implied-vol,bloomberg,daily,EURUSDV9M,NYC,close,EURUSDV9M CMPN Curncy
10,fx-implied-vol,bloomberg,daily,EURUSDV1Y,NYC,close,EURUSDV1Y CMPN Curncy
11,fx-implied-vol,bloomberg,daily,EURUSDV2Y,NYC,close,EURUSDV2Y CMPN Curncy
12,fx-implied-vol,bloomberg,daily,EURUSDV3Y,NYC,close,EURUSDV3Y CMPN Curncy
13,fx-implied-vol,bloomberg,daily,EURUSDV5Y,NYC,close,EURUSDV5Y CMPN Curncy
14,fx-implied-vol,bloomberg,daily,EURUSD25RON,NYC,close,EURUSD25RON CMPN Curncy
15,fx-implied-vol,bloomberg,daily,EURUSD25R1W,NYC,close,EURUSD25R1W CMPN Curncy
16,fx-implied-vol,bloomberg,daily,EURUSD25R2W,NYC,close,EURUSD25R2W CMPN Curncy
17,fx-implied-vol,bloomberg,daily,EURUSD25R3W,NYC,close,EURUSD25R3W CMPN Curncy
18,fx-implied-vol,bloomberg,daily,EURUSD25R1M,NYC,close,EURUSD25R1M CMPN Curncy
19,fx-implied-vol,bloomberg,daily,EURUSD25R2M,NYC,close,EURUSD25R2M CMPN Curncy
20,fx-implied-vol,bloomberg,daily,EURUSD25R3M,NYC,close,EURUSD25R3M CMPN Curncy
21,fx-implied-vol,bloomberg,daily,EURUSD25R4M,NYC,close,EURUSD25R4M CMPN Curncy
22,fx-implied-vol,bloomberg,daily,EURUSD25R6M,NYC,close,EURUSD25R6M CMPN Curncy
23,fx-implied-vol,bloomberg,daily,EURUSD25R9M,NYC,close,EURUSD25R9M CMPN Curncy
24,fx-implied-vol,bloomberg,daily,EURUSD25R1Y,NYC,close,EURUSD25R1Y CMPN Curncy
25,fx-implied-vol,bloomberg,daily,EURUSD25R2Y,NYC,close,EURUSD25R2Y CMPN Curncy
26,fx-implied-vol,bloomberg,daily,EURUSD25R3Y,NYC,close,EURUSD25R3Y CMPN Curncy
27,fx-implied-vol,bloomberg,daily,EURUSD25R5Y,NYC,close,EURUSD25R5Y CMPN Curncy
28,fx-implied-vol,bloomberg,daily,EURUSD10RON,NYC,close,EURUSD10RON CMPN Curncy
29,fx-implied-vol,bloomberg,daily,EURUSD10R1W,NYC,close,EURUSD10R1W CMPN Curncy
30,fx-implied-vol,bloomberg,daily,EURUSD10R2W,NYC,close,EURUSD10R2W CMPN Curncy
31,fx-implied-vol,bloomberg,daily,EURUSD10R3W,NYC,close,EURUSD10R3W CMPN Curncy
32,fx-implied-vol,bloomberg,daily,EURUSD10R1M,NYC,close,EURUSD10R1M CMPN Curncy
33,fx-implied-vol,bloomberg,daily,EURUSD10R2M,NYC,close,EURUSD10R2M CMPN Curncy
34,fx-implied-vol,bloomberg,daily,EURUSD10R3M,NYC,close,EURUSD10R3M CMPN Curncy
35,fx-implied-vol,bloomberg,daily,EURUSD10R4M,NYC,close,EURUSD10R4M CMPN Curncy
36,fx-implied-vol,bloomberg,daily,EURUSD10R6M,NYC,close,EURUSD10R6M CMPN Curncy
37,fx-implied-vol,bloomberg,daily,EURUSD10R9M,NYC,close,EURUSD10R9M CMPN Curncy
38,fx-implied-vol,bloomberg,daily,EURUSD10R1Y,NYC,close,EURUSD10R1Y CMPN Curncy
39,fx-implied-vol,bloomberg,daily,EURUSD10R2Y,NYC,close,EURUSD10R2Y CMPN Curncy
40,fx-implied-vol,bloomberg,daily,EURUSD10R3Y,NYC,close,EURUSD10R3Y CMPN Curncy
41,fx-implied-vol,bloomberg,daily,EURUSD10R5Y,NYC,close,EURUSD10R5Y CMPN Curncy
42,fx-implied-vol,bloomberg,daily,EURUSD25BON,NYC,close,EURUSD25BON CMPN Curncy
43,fx-implied-vol,bloomberg,daily,EURUSD25B1W,NYC,close,EURUSD25B1W CMPN Curncy
44,fx-implied-vol,bloomberg,daily,EURUSD25B2W,NYC,close,EURUSD25B2W CMPN Curncy
45,fx-implied-vol,bloomberg,daily,EURUSD25B3W,NYC,close,EURUSD25B3W CMPN Curncy
46,fx-implied-vol,bloomberg,daily,EURUSD25B1M,NYC,close,EURUSD25B1M CMPN Curncy
47,fx-implied-vol,bloomberg,daily,EURUSD25B2M,NYC,close,EURUSD25B2M CMPN Curncy
48,fx-implied-vol,bloomberg,daily,EURUSD25B3M,NYC,close,EURUSD25B3M CMPN Curncy
49,fx-implied-vol,bloomberg,daily,EURUSD25B4M,NYC,close,EURUSD25B4M CMPN Curncy
