data_source,fields,vendor_fields
quandl,close,close
quandl,open,open
quandl,high,high
quandl,low,low
quandl,adj-close,adj-close
quandl,close,settle
quandl,prev-day-open-interest,prev-day-open-interest
quandl,volume,volume
yahoo,adj-close,Adj Close
yahoo,close,Close
yahoo,open,Open
yahoo,high,High
yahoo,low,Low
yahoo,volume,Volume
google,close,Close
google,open,Open
google,high,High
google,low,Low
google,volume,Volume
dukascopy,bid,bid
dukascopy,ask,ask
dukascopy,bidv,bidv
dukascopy,askv,askv
dukascopy,volume,temp
fxcm,bid,bid
fxcm,ask,ask
bloomberg,close,PX_LAST
bloomberg,high,PX_HIGH
bloomberg,low,PX_LOW
bloomberg,open,PX_OPEN
bloomberg,events,PX_EVENTS
bloomberg,volume,PX_VOLUME
bloomberg,actual-release,ACTUAL_RELEASE
bloomberg,survey-median,BN_SURVEY_MEDIAN
bloomberg,survey-average,BN_SURVEY_AVERAGE
bloomberg,survey-high,BN_SURVEY_HIGH
bloomberg,survey-low,BN_SURVEY_LOW
bloomberg,survey-high,BN_SURVEY_HIGH
bloomberg,number-observations,BN_SURVEY_NUMBER_OBSERVATIONS
bloomberg,release-dt,ECO_RELEASE_DT
bloomberg,release-date-time-full,ECO_FUTURE_RELEASE_DATE_LIST
bloomberg,first-revision,FIRST_REVISION
bloomberg,first-revision-date,FIRST_REVISION_DATE
bloomberg,observation-period,OBSERVATION_PERIOD
bloomberg,relevance-value,RELEVANCE_VALUE
alfred,actual-release,actual-release
alfred,close,close
alfred,release-date-time-full,release-date-time-full
alfred,first-revision,first-revision
bloomberg,contract-value,CONTRACT_VALUE
bloomberg,last-tradeable-day,LAST_TRADEABLE_DT
bloomberg,current-futures-ticker,FUT_CUR_GEN_TICKER
bloomberg,futures-chain-tickers,FUT_CHAIN
bloomberg,futures-chain-last-trade-dates,FUT_CHAIN_LAST_TRADE_DATES
bloomberg,open-interest,OPEN_INT
bloomberg,first-notice-date,FUT_NOTICE_FIRST
bloomberg,first-tradeable-day,FUT_FIRST_TRADE_DT
bloomberg,cal-non-settle-dates,CALENDAR_NON_SETTLEMENT_DATES
eikon,high,HIGH
eikon,close,CLOSE
eikon,low,LOW
eikon,open,OPEN
eikon,count,COUNT
eikon,volume,VOLUME
eikon,bid,BID
eikon,ask,ASK
bitcoincharts,close,close
bitcoincharts,volume,volume
poloniex,close,close
poloniex,high,high
poloniex,low,low
poloniex,open,open
poloniex,quote-volume,quote-volume
poloniex,volume,volume
poloniex,weighted-average,weighted-average
binance,open,open
binance,high,high
binance,low,low
binance,close,close
binance,volume,volume
binance,quote-asset-volume,quote-asset-volume
binance,trade-numbers,trade-numbers
binance,taker-buy-base-asset-volume,taker-buy-base-asset-volume
binance,taker-buy-quote-asset-volume,taker-buy-quote-asset-volume
bitfinex,open,open
bitfinex,close,close
bitfinex,high,high
bitfinex,low,low
bitfinex,volume,volume
gdax,low,low
gdax,high,high
gdax,open,open
gdax,close,close
gdax,volume,volume
kraken,close,close
kraken,volume,volume
kraken,buy-sell,buy-sell
kraken,market-limit,market-limit
kraken,miscellaneous,miscellaneous
huobi,amount,amount
huobi,close,close
huobi,count,count
huobi,high,high
huobi,low,low
huobi,open,open
huobi,volume,vol
